,ID,SN
320,z_5_flares_08_gal_221_alma.fits,7.95
321,z_6_flares_14_gal_051_alma.fits,5.02
322,z_5_flares_05_gal_006_alma.fits,5.72
323,z_6_flares_13_gal_052_alma.fits,6.47
324,z_5_flares_06_gal_042_alma.fits,3.53
325,z_10_flares_08_gal_004_alma.fits,3.11
326,z_5_flares_06_gal_167_alma.fits,13.53
327,z_5_flares_09_gal_146_alma.fits,6.11
328,z_6_flares_08_gal_067_alma.fits,3.4
329,z_5_flares_05_gal_046_alma.fits,10.9
330,z_5_flares_06_gal_202_alma.fits,16.63
331,z_5_flares_17_gal_074_alma.fits,14.06
332,z_6_flares_15_gal_030_alma.fits,3.14
333,z_5_flares_14_gal_076_alma.fits,5.22
334,z_6_flares_09_gal_065_alma.fits,6.33
335,z_5_flares_14_gal_103_alma.fits,4.57
336,z_5_flares_04_gal_042_alma.fits,7.27
337,z_6_flares_06_gal_016_alma.fits,3.85
338,z_5_flares_00_gal_107_alma.fits,2.85
339,z_7_flares_06_gal_035_alma.fits,11.67
340,z_6_flares_03_gal_071_alma.fits,4.3
341,z_7_flares_04_gal_002_alma.fits,6.07
342,z_5_flares_17_gal_086_alma.fits,7.36
343,z_5_flares_08_gal_138_alma.fits,7.1
344,z_7_flares_16_gal_019_alma.fits,5.03
345,z_5_flares_12_gal_008_alma.fits,5.25
346,z_5_flares_09_gal_075_alma.fits,4.8
347,z_5_flares_00_gal_020_alma.fits,6.23
348,z_5_flares_02_gal_193_alma.fits,6.44
349,z_5_flares_10_gal_146_alma.fits,3.94
350,z_7_flares_06_gal_030_alma.fits,3.33
351,z_7_flares_00_gal_020_alma.fits,4.05
352,z_6_flares_04_gal_091_alma.fits,4.15
353,z_5_flares_02_gal_108_alma.fits,5.07
354,z_6_flares_08_gal_106_alma.fits,5.0
355,z_5_flares_06_gal_023_alma.fits,12.59
356,z_5_flares_21_gal_009_alma.fits,5.1
357,z_5_flares_04_gal_087_alma.fits,12.12
358,z_5_flares_04_gal_157_alma.fits,9.22
359,z_5_flares_08_gal_004_alma.fits,7.33
360,z_8_flares_10_gal_011_alma.fits,3.7
361,z_5_flares_08_gal_064_alma.fits,12.09
362,z_7_flares_10_gal_024_alma.fits,6.37
363,z_6_flares_00_gal_078_alma.fits,3.17
364,z_6_flares_06_gal_092_alma.fits,8.99
365,z_5_flares_04_gal_026_alma.fits,11.39
366,z_6_flares_09_gal_075_alma.fits,4.36
367,z_5_flares_09_gal_053_alma.fits,5.38
368,z_7_flares_01_gal_023_alma.fits,3.39
369,z_5_flares_09_gal_167_alma.fits,5.41
370,z_7_flares_09_gal_028_alma.fits,3.37
371,z_6_flares_14_gal_016_alma.fits,5.71
372,z_5_flares_11_gal_162_alma.fits,13.59
373,z_8_flares_06_gal_006_alma.fits,3.3
374,z_5_flares_02_gal_065_alma.fits,4.68
375,z_5_flares_03_gal_076_alma.fits,5.44
